type,name,code,address,district,branch_name,open_date
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028004,"2, Shahid Lakhan Rural Municipality",Gorkha,Manakamana,2013-09-06
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028005,"6, Beni Municipality",Myagdi,Galeshwor,2013-09-08
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028006,"5, Jiri Municipality",Dolakha,Mainapokhari,2013-09-17
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028007,"1, Balephi Rural Municipality",Sindhupalchok,Khadichaur,2013-09-25
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028008,"5, Uttargaya Rural Municipality",Rasuwa,Betrawati,2013-10-20
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028009,"6, Gosaikunda Rural Municipality",Rasuwa,Dhunche,2013-11-05
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028010,"4, Gharpajhong Rural Municipality",Mustang,Jomsom,2013-12-10
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028011,"3, Chame Rural Municipality",Manang,Chame,2013-12-10
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028012,"5, Solu Dhudhakunda Municipality",Solukhumbu,Salleri,2013-12-10
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028013,"17, Pokhara Metropolitian City",Kaski,Pumdibhumdi,2014-03-09
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024071,"5, Thakurbaba Municipality",Bardiya,SHAHIPUR,2021-08-29
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024072,"4, Rajapur Municipality",Bardiya,RAJAPUR,2021-08-29
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024073,"10, Lamki Chuha Municipality",Kailali,CHUHA,2021-08-29
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024074,"6, Godawari Municipality",Kailali,LALPUR,2021-08-29
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024075,"5, Krishnapur Municipality",Kanchanpur,GULARIYA,2021-08-29
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024076,"9, Jaleshwor Municipality",Mahottari,PARIKAULI,2021-10-18
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024077,"8, Bheriganga Municipality",Surkhet,MAINTADA,2021-12-16
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029053,"4, Miklajung Rural Municipality",Panchthar,Ravi Bazar,2016-12-16
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029055,"7, Ishworpur Municipality",Sarlahi,Ishwarpur,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029056,"7, Barahathawa Municipality",Sarlahi,Barhathwa,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029057,"3, Katari Municipality",Udayapur,Katari,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029058,"5, Kaudena Rural Municipality",Sarlahi,Kaudena,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029059,"5, Gaushala Municipality",Mahottari,Gaushala,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029060,"6, Mirchaiya Municipality",Siraha,Mirchaiya,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029061,"9, Dudhouli Municipality",Sindhuli,Dudhauli,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029062,"1, Bardibas Municipality",Mahottari,Bardibas,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029063,"4, Laxminiya Rural Municipality",Dhanusa,Sapahi,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029064,"4, Malangawa Municipality",Sarlahi,Malangwa,2013-05-17
