S.N.,District Name,Province,Area (sq km),district,branch_count,dominant_type,avg_branch_age,District,Total household number,Total population,Total Male,Total Female
64,Sankhuwasabha,Koshi,3480,Sankhuwasabha,51.0,Microfinance Institutions (Class D),11.392156862745098,Sankhuwasabha,36682.0,156457.0,77473.0,78984.0
65,Saptari,Madhesh,1363,Saptari,170.0,Microfinance Institutions (Class D),9.023529411764706,Saptari,124324.0,711759.0,354183.0,357576.0
66,Sarlahi,Madhesh,1259,Sarlahi,193.0,Microfinance Institutions (Class D),7.61139896373057,Sarlahi,138412.0,856443.0,432599.0,423844.0
67,Sindhuli,Bagmati,2491,Sindhuli,101.0,Microfinance Institutions (Class D),7.207920792079208,Sindhuli,64593.0,297660.0,145327.0,152333.0
68,Sindhupalchok,Bagmati,2542,Sindhupalchok,83.0,Microfinance Institutions (Class D),9.19277108433735,Sindhupalchok,69709.0,261422.0,128065.0,133357.0
69,Siraha,Madhesh,1188,Siraha,195.0,Microfinance Institutions (Class D),9.538461538461538,Siraha,123536.0,748416.0,369049.0,379367.0
70,Solukhumbu,Koshi,3312,Solukhumbu,36.0,Commercial Bank (Class A),11.472222222222221,Solukhumbu,25388.0,104768.0,52629.0,52139.0
71,Sunsari,Koshi,1257,Sunsari,248.0,Microfinance Institutions (Class D),10.19758064516129,Sunsari,181777.0,932452.0,452087.0,480365.0
72,Surkhet,Karnali,2451,Surkhet,137.0,Microfinance Institutions (Class D),7.7153284671532845,Surkhet,87288.0,413332.0,198106.0,215226.0
73,Syangja,Gandaki,1164,Syangja,89.0,Microfinance Institutions (Class D),9.707865168539326,Syangja,62856.0,254277.0,117440.0,136837.0
74,Tanahun,Gandaki,1546,,,,,,,,,
75,Taplejung,Koshi,3646,Taplejung,29.0,Commercial Bank (Class A),9.689655172413794,Taplejung,26139.0,120359.0,60524.0,59835.0
76,Terhathum,Koshi,679,Terhathum,42.0,Microfinance Institutions (Class D),9.0,Terhathum,20352.0,88885.0,43563.0,45322.0
77,Udayapur,Koshi,2063,Udayapur,95.0,Microfinance Institutions (Class D),10.421052631578947,Udayapur,75932.0,342051.0,164379.0,177672.0
